,date,store_id,cat_id,sales,is_outlier
0,2011-01-29,TX_1,FOODS,3950.35,False
1,2011-01-30,TX_1,FOODS,3844.97,False
2,2011-01-31,TX_1,FOODS,2888.03,False
3,2011-02-01,TX_1,FOODS,3631.28,False
4,2011-02-02,TX_1,FOODS,3072.18,False
5,2011-02-03,TX_1,FOODS,4827.67,False
6,2011-02-04,TX_1,FOODS,2865.66,False
7,2011-02-05,TX_1,FOODS,4446.09,False
8,2011-02-06,TX_1,FOODS,4991.76,False
9,2011-02-07,TX_1,FOODS,3551.25,False
10,2011-02-08,TX_1,FOODS,2690.66,False
11,2011-02-09,TX_1,FOODS,3602.84,False
12,2011-02-10,TX_1,FOODS,3233.29,False
13,2011-02-11,TX_1,FOODS,3696.21,False
14,2011-02-12,TX_1,FOODS,4803.05,False
15,2011-02-13,TX_1,FOODS,5817.36,False
16,2011-02-14,TX_1,FOODS,3271.07,False
17,2011-02-15,TX_1,FOODS,3859.7,False
18,2011-02-16,TX_1,FOODS,3210.92,False
19,2011-02-17,TX_1,FOODS,2965.81,False
20,2011-02-18,TX_1,FOODS,3186.52,False
21,2011-02-19,TX_1,FOODS,3965.15,False
22,2011-02-20,TX_1,FOODS,4145.67,False
23,2011-02-21,TX_1,FOODS,3224.6,False
24,2011-02-22,TX_1,FOODS,2893.82,False
25,2011-02-23,TX_1,FOODS,2580.78,False
26,2011-02-24,TX_1,FOODS,3083.86,False
27,2011-02-25,TX_1,FOODS,3013.17,False
28,2011-02-26,TX_1,FOODS,3803.96,False
29,2011-02-27,TX_1,FOODS,4289.93,False
30,2011-02-28,TX_1,FOODS,3161.71,False
31,2011-03-01,TX_1,FOODS,3199.07,False
32,2011-03-02,TX_1,FOODS,3113.6,False
33,2011-03-03,TX_1,FOODS,3335.43,False
34,2011-03-04,TX_1,FOODS,2973.72,False
35,2011-03-05,TX_1,FOODS,4587.39,False
36,2011-03-06,TX_1,FOODS,5018.7,False
37,2011-03-07,TX_1,FOODS,4076.49,False
38,2011-03-08,TX_1,FOODS,3290.18,False
39,2011-03-09,TX_1,FOODS,3846.26,False
40,2011-03-10,TX_1,FOODS,3030.62,False
41,2011-03-11,TX_1,FOODS,3307.94,False
42,2011-03-12,TX_1,FOODS,4870.73,False
